year,month,airline
1986,October,Grand Canyon Airlines
1986,October,Aeroflot
1986,November,LIAT
1986,November,Aeroméxico
1986,December,Douglas
1986,December,Pan Am
1987,January,Varig
1987,January,Boeing
1987,January,Skywest Airlines
1987,March,Aeroflot
1987,April,Northwest Airlink
1987,May,Garuda Indonesia
1987,May,Douglas
1987,May,American Eagle
1987,June,LOT
1987,June,Air New Zealand
1987,July,Boeing
1987,July,Aeroflot
1987,August,Philippine Airlines
1987,August,Hawker Siddeley
1987,October,Air Afrique
1987,November,Douglas
1987,November,Belize Air International
1987,November,Boeing
1987,December,Northwest Airlines
1987,December,Douglas
1987,December,Thai Airways
1987,December,Boeing
1987,December,Aero
1988,January,Condor Flugdienst
1988,January,Boeing
1988,January,China Southwest Airlines
1988,January,Aeroflot
1988,January,Trans-Colorado Airlines
1988,February,Aeroflot
1988,February,American Airlines
1988,February,Douglas
1988,February,Nürnberger Flugdienst
1988,March,AVAir
1988,March,Boeing
1988,March,Talia Airways
1988,April,Comair
1988,April,TAT
1988,May,Avianca
1988,May,Boeing
1988,June,Kuwait Airways
1988,June,Boeing
1988,July,Aloha Airlines
1988,July,Boeing
1988,August,Widerøe
1988,August,TACA
1988,September,Boeing
1988,September,Austral Líneas Aéreas
1988,September,Douglas
1988,October,Air France
1988,October,Iran Air
1988,November,British International Helicopters
1988,December,CAAC
1989,January,British Midland
1989,February,Boeing
1989,February,Boeing
1989,February,Independent Air
1989,March,Boeing
1989,March,Flying Tiger Line
1989,March,Boeing
1989,June,United Airlines
1989,June,Boeing
1989,July,Air Ontario
1989,July,Evergreen International Airlines
1989,July,Douglas
1989,August,Transbrasil
1989,August,Boeing
1989,August,Surinam Airways
1989,September,Douglas
1989,September,Interflug
1989,September,United Airlines
1989,September,Douglas
1989,September,Philippine Airlines
1989,October,Korean Air
1989,October,Douglas
1989,October,Olympic Aviation
1989,November,China Eastern Airlines
1989,November,Pakistan International Airlines
1989,November,Cubana de Aviación
1989,December,Varig
1989,December,Boeing
1990,January,Aeroflot
1990,January,SANSA
1990,January,Avianca
1990,February,Boeing
1990,April,Indian Airlines
1990,April,Atlantic Southeast Airlines
1990,May,Cessna
1990,May,Cessna
1990,June,Widerøe
1990,August,Philippine Airlines
1990,September,Boeing
1990,October,Aerolift Philippines
1990,November,British Airways
1990,November,British Airways
1990,December,Boeing
1991,February,USAir
1991,February,Boeing
1991,February,SkyWest Airlines
1991,March,Boeing
1991,March,Ryan International Airlines
1991,March,Douglas
1991,March,LAN Chile
1991,April,United Airlines
1991,May,Boeing
1991,May,Aeropostal Alas de Venezuela
1991,July,Douglas
1991,July,Aeroflot
1991,August,Singapore Airlines
1991,September,Atlantic Southeast Airlines
1991,November,Aeroflot
1991,December,Lauda Air
1991,December,Boeing
1992,January,CommutAir
1992,January,Air Inter
1992,February,Air Transport International
1992,March,Douglas
1992,March,USAir
1992,June,Trans-Air Service
1992,June,Boeing
1992,June,Copa Airlines
1992,July,Boeing
1992,July,American Eagle
1992,July,CASA C-212 Aviocar
1992,July,GP Express
1992,July,Transair
1992,August,Mandala Airlines
1992,September,TWA
1992,September,Lockheed
1992,October,Thai Airways
1992,October,China General Aviation
1992,November,Aeroflot
1992,November,Vietnam Airlines
1992,December,Pakistan International Airlines
1992,December,El Al
1993,January,Lufthansa
1993,February,Iran Air
1993,February,Lufthansa
1993,March,Palair Macedonian Airlines
1993,March,Japan Air Lines
1993,April,Boeing
1993,April,China Eastern Airlines
1993,April,Douglas
1993,April,American Airlines
1993,April,Douglas
1993,May,Japan Air System
1993,July,Douglas
1993,July,Indian Airlines
1993,July,Boeing
1993,August,Indian Airlines
1993,August,Boeing
1993,August,SAM Colombia
1993,August,Boeing
1993,September,Merpati Nusantara
1993,September,China Northwest Airlines
1993,September,Asiana Airlines
1993,October,Boeing
1993,October,Boeing
1993,November,American International Airways
1993,November,Sakha Avia
1993,November,Tajik Air
1993,December,Everest Air
1993,December,Lufthansa
1994,January,Baikal Airlines
1994,January,United Express
1994,February,Pulkovo Aviation Enterprise
1994,March,Sahara Airlines
1994,March,Boeing
1994,April,Aeroflot
1994,April,Aeroflot
1994,April,KLM
1994,April,Federal Express
1994,June,Douglas
1994,June,FedEx
1994,July,South Pacific Airmotive
1994,July,Douglas
1994,July,China Airlines
1994,August,China Northwest Airlines
1994,August,Airbus Industrie
