,year,month,airline
630,1973,September,Boeing
631,1973,September,Japan Air Lines
632,1973,September,Boeing
633,1973,September,Boeing
634,1973,October,Ozark Air Lines
635,1973,November,Delta Air Lines
636,1973,November,Douglas
637,1973,November,Aviaco
638,1973,November,Aeroflot
639,1973,December,Aerocondor
640,1973,December,Lockheed
641,1973,December,TWA
642,1973,December,Boeing
643,1974,January,Commonwealth Commuter
644,1974,January,Turkish Airlines
645,1974,January,Pan Am
646,1974,March,Boeing
647,1974,March,Turkish Airlines
648,1974,March,Douglas
649,1974,April,Sierra Pacific Airlines
650,1974,April,Sterling Airways
651,1974,April,Sterling Airways
652,1974,April,Wenela Air Services
653,1974,July,Douglas
654,1974,September,Court Line
655,1974,September,Pan Am
656,1974,September,Boeing
657,1974,October,Aeroflot
658,1974,November,EgyptAir
659,1974,December,TWA
660,1974,December,Boeing
661,1974,December,Eastern Air Lines
662,1974,December,Douglas
663,1975,January,Cessna
664,1975,January,Þyrluflug
665,1975,January,Turkish Airlines
666,1975,February,Japan Air Lines
667,1975,March,Boeing
668,1975,June,Royal Nepal Airlines
669,1975,August,Eastern Air Lines
670,1975,August,Boeing
671,1975,August,Boeing
672,1975,September,Boeing
673,1975,September,ČSA
674,1975,September,Wien Air Alaska
675,1975,October,Interflug
676,1975,November,Garuda Indonesia
677,1976,January,Boeing
678,1976,January,Aeroflot
679,1976,January,Taxi Aereo el Venado
680,1976,February,Douglas
681,1976,March,Douglas
682,1976,April,Aeroflot
683,1976,April,Aeroflot
684,1976,May,Alaska Airlines
685,1976,June,Boeing
686,1976,June,American Airlines
687,1976,June,Boeing
688,1976,June,Aeroflot
689,1976,July,Aeroflot
690,1976,August,Air Manila
691,1976,August,Lockheed
692,1976,September,Sabah Air
693,1976,September,Air France
694,1976,September,ČSA
695,1976,October,SAETA
696,1976,October,EgyptAir
697,1976,October,Aeroflot
698,1976,November,Aeroflot
699,1976,November,British Airways
700,1976,December,Hawker Siddeley
701,1976,December,Inex-Adria Aviopromet
702,1976,December,Douglas
703,1977,January,Aeroflot
704,1977,January,Japan Air Lines
705,1977,January,Douglas
706,1977,February,Japan Airlines
